date,avg_title_len,avg_abstract_len
2007/5,64,665
2007/6,67,692
2007/7,68,762
2007/8,68,713
2007/9,67,694
2007/10,67,677
2007/11,69,703
2007/12,67,706
2008/1,68,719
2008/2,63,634
2008/3,69,709
2008/4,68,703
2008/5,67,712
2008/6,67,726
2008/7,69,717
2008/8,68,719
2008/9,67,714
2008/10,68,714
2008/11,68,793
2008/12,68,767
2009/1,70,742
2009/2,68,729
2009/3,68,732
2009/4,68,725
2009/5,68,751
2009/6,70,844
2009/7,69,799
2009/8,69,803
2009/9,66,777
2009/10,68,748
2009/11,72,867
2009/12,69,760
2010/1,69,768
2010/2,66,739
2010/3,68,754
2010/4,68,777
2010/5,70,787
2010/6,68,756
2010/7,71,797
2010/8,70,768
2010/9,69,767
2010/10,68,781
2010/11,67,768
2010/12,69,774
2011/1,68,748
2011/2,72,923
2011/3,68,784
2011/4,67,741
2011/5,69,816
2011/6,70,792
2011/7,68,777
2011/8,70,785
2011/9,70,778
2011/10,69,787
2011/11,70,771
2011/12,70,792
2012/1,70,780
2012/2,70,809
2012/3,71,806
2012/4,70,814
2012/5,71,796
2012/6,70,819
2012/7,70,823
2012/8,75,808
2012/9,70,804
2012/10,70,800
2012/11,71,804
2012/12,71,810
2013/1,71,819
2013/2,71,808
2013/3,72,826
2013/4,70,827
2013/5,72,839
2013/6,73,849
2013/7,72,842
2013/8,72,851
2013/9,72,828
2013/10,71,823
2013/11,71,837
2013/12,71,845
2014/1,72,852
2014/2,70,814
2014/3,73,869
2014/4,71,857
2014/5,73,879
2014/6,71,858
2014/7,72,880
2014/8,72,867
2014/9,72,876
2014/10,71,860
2014/11,69,835
2014/12,73,873
2015/1,73,873
2015/2,72,869
2015/3,72,905
2015/4,73,898
2015/5,76,999
2015/6,75,989
2015/7,71,905
2015/8,74,939
2015/9,73,922
2015/10,74,921
2015/11,73,930
2015/12,73,917
2016/1,72,907
2016/2,74,933
2016/3,74,944
2016/4,73,937
2016/5,74,937
2016/6,75,937
2016/7,73,934
2016/8,73,897
2016/9,71,838
2016/10,74,939
2016/11,73,945
2016/12,74,948
2017/1,74,953
2017/2,74,958
2017/3,74,954
2017/4,75,960
2017/5,74,950
2017/6,74,953
2017/7,74,961
2017/8,71,883
2017/9,74,965
2017/10,74,965
2017/11,74,976
2017/12,75,987
2018/1,75,962
2018/2,75,988
2018/3,75,969
2018/4,75,974
2018/5,75,986
2018/6,75,987
2018/7,75,993
2018/8,75,996
2018/9,75,988
2018/10,75,998
2018/11,75,998
2018/12,75,1001
2019/1,75,998
2019/2,74,965
2019/3,75,997
2019/4,75,1006
2019/5,75,1003
2019/6,75,1011
2019/7,75,1009
2019/8,73,918
2019/9,75,1010
2019/10,75,1008
2019/11,75,1014
2019/12,75,982
2020/1,76,1027
2020/2,75,1023
2020/3,76,1025
2020/4,76,1026
2020/5,76,1025
2020/6,76,1034
2020/7,77,1055
2020/8,77,1044
2020/9,76,1051
2020/10,76,1057
2020/11,77,1050
2020/12,77,1044
2021/1,77,1059
2021/2,76,1049
2021/3,77,1068
2021/4,77,1060
2021/5,77,1057
2021/6,77,1073
2021/7,76,1053
2021/8,77,1067
2021/9,77,1065
2021/10,76,1071
2021/11,77,1067
2021/12,77,1079
2022/1,77,1067
2022/2,77,1067
2022/3,77,1073
2022/4,77,1081
2022/5,77,1074
2022/6,77,1078
2022/7,77,1082
2022/8,78,1081
2022/9,77,1080
2022/10,77,1091
2022/11,77,1091
2022/12,77,1078
2023/1,78,1084
2023/2,78,1100
2023/3,78,1107
